V1,V2,V3,V4,V5,V6,V7
0.470723245,0.953820853,-0.672087009,-1.074946353,0.850102551,1.089384836,1.1412631
-0.51488417,0.158522646,1.415531062,0.295222848,-1.825112893,0.087755443,0.72864571
0.06206855,1.443483594,0.338000287,-1.906672769,0.185790628,0.723825915,1.0237816
0.511669295,-1.700923135,-0.259075861,0.933552899,-1.321888269,-0.69553269,0.77845423
-0.246223916,0.500525122,0.556399393,-0.995537998,0.117444562,1.479481661,1.2137632
0.840901217,-1.27338691,-0.981046305,0.817009972,-0.692654808,-0.989860318,1.178405
0.492172587,0.512548654,-1.004845734,0.116398192,1.460799448,-0.273359424,1.058503
-0.992970145,0.170489237,1.424670625,-0.240200861,-1.095985758,0.925306656,0.5766389
-1.421170133,0.094899042,0.471322632,-0.945587009,0.24200366,1.191456703,0.87645096
1.078272752,-0.744596004,-1.396758426,0.345730998,0.016766876,-1.073488852,1.143638
0.743692641,0.504517652,-1.133830684,0.016841087,1.28852671,-0.57296191,1.0306506
1.325205423,-0.254267282,0.097350289,1.581247365,0.454258364,-1.77630794,0.63302397
-0.981475915,0.438881659,1.483895165,-0.163456017,-0.029189725,1.395486866,1.0842165
0.566884551,-1.808602705,-0.157540954,0.621427201,0.820789443,-0.934982841,0.74941645
-1.380521907,0.158645629,0.378597256,-0.890142304,0.307878173,1.585232049,1.0202406
0.83157261,-2.158372149,0.262325683,0.932823036,-1.283489823,-0.790987817,0.86401556
0.447907458,-0.535518319,1.267281134,0.531802144,-1.813446195,-0.132752714,0.82493
0.500937551,1.311715524,-0.388714691,-1.523279155,0.746791185,1.016530778,1.1549847
0.478777358,0.50688587,-1.000206661,0.121839333,1.465736109,-0.251387159,1.1187232
-1.811265269,-0.156890012,0.621187165,0.820516581,-0.931545802,0.10530818,0.91816862
0.280624167,1.096708194,0.517759293,-0.670652611,1.243937371,0.672927196,1.0849831
0.836231166,0.080254744,-1.286621467,0.01233083,0.910573007,-0.762538635,0.99754667
-2.262153638,0.419362525,0.997297711,-1.006980092,-1.239662552,0.412144677,0.96135267
0.818936419,-0.700266861,-0.982506426,0.495986316,1.464991261,-0.323613562,1.1115547
0.277357033,0.94574435,-1.219306194,-0.853470038,0.564913571,1.373229255,1.2314926
-1.994483007,0.030563957,0.935442813,-1.297296117,-0.743209953,0.499600128,0.56609914
0.933692165,-1.321973633,-0.695109609,0.425270966,1.158230824,-0.716205188,1.0460129
0.577652103,-1.266480911,1.013833716,1.020656131,-0.909197135,-1.23364011,0.8630619
-0.984134095,0.496620941,1.464559217,-0.321727451,0.105647042,1.508379523,0.73739829
0.481506269,-0.023731095,-1.166132578,0.281097008,1.096245947,0.516285602,1.1489492
